Elements;introS;milliSec;10000;1000;5;10;rand;median;100
10000;17;;;;;;;;
11000;17;;;;;;;;
12000;17;;;;;;;;
13000;33;;;;;;;;
14000;33;;;;;;;;
15000;24;;;;;;;;
16000;34;;;;;;;;
17000;48;;;;;;;;
18000;40;;;;;;;;
19000;41;;;;;;;;
20000;100;;;;;;;;
ab;;;;;;;;;
10000;22;;;;;;;;
11000;24;;;;;;;;
12000;25;;;;;;;;
13000;27;;;;;;;;
14000;37;;;;;;;;
15000;36;;;;;;;;
16000;38;;;;;;;;
17000;44;;;;;;;;
18000;51;;;;;;;;
19000;99;;;;;;;;
20000;102;;;;;;;;
auf;;;;;;;;;
10000;3;;;;;;;;
11000;2;;;;;;;;
12000;3;;;;;;;;
13000;3;;;;;;;;
14000;3;;;;;;;;
15000;5;;;;;;;;
16000;5;;;;;;;;
17000;4;;;;;;;;
18000;4;;;;;;;;
19000;6;;;;;;;;
20000;5;;;;;;;;
